event_type,event_payload
player_rolls_dice,"{""gameId"": 2, ""playerId"": 14, ""roll"": 2}"
player_rolls_dice,"{""gameId"": 2, ""playerId"": 1, ""roll"": 4}"
player_rolls_dice,"{""gameId"": 2, ""playerId"": 14, ""roll"": 3}"
player_rolls_dice,"{""gameId"": 2, ""playerId"": 1, ""roll"": 6}"
player_rolls_dice,"{""gameId"": 2, ""playerId"": 14, ""roll"": 2}"
player_rolls_dice,"{""gameId"": 2, ""playerId"": 1, ""roll"": 1}"
player_rolls_dice,"{""gameId"": 2, ""playerId"": 14, ""roll"": 5}"
player_rolls_dice,"{""gameId"": 2, ""playerId"": 1, ""roll"": 6}"
player_rolls_dice,"{""gameId"": 2, ""playerId"": 14, ""roll"": 1}"
player_rolls_dice,"{""gameId"": 2, ""playerId"": 1, ""roll"": 6}"
player_rolls_dice,"{""gameId"": 2, ""playerId"": 14, ""roll"": 4}"
player_rolls_dice,"{""gameId"": 2, ""playerId"": 1, ""roll"": 4}"
player_rolls_dice,"{""gameId"": 2, ""playerId"": 14, ""roll"": 2}"
player_rolls_dice,"{""gameId"": 2, ""playerId"": 1, ""roll"": 3}"
player_rolls_dice,"{""gameId"": 2, ""playerId"": 14, ""roll"": 6}"
player_rolls_dice,"{""gameId"": 2, ""playerId"": 1, ""roll"": 4}"
player_rolls_dice,"{""gameId"": 2, ""playerId"": 14, ""roll"": 6}"
player_rolls_dice,"{""gameId"": 2, ""playerId"": 1, ""roll"": 4}"
player_rolls_dice,"{""gameId"": 2, ""playerId"": 14, ""roll"": 5}"
player_rolls_dice,"{""gameId"": 2, ""playerId"": 1, ""roll"": 1}"
player_rolls_dice,"{""gameId"": 2, ""playerId"": 14, ""roll"": 2}"
player_rolls_dice,"{""gameId"": 2, ""playerId"": 1, ""roll"": 5}"
player_rolls_dice,"{""gameId"": 2, ""playerId"": 14, ""roll"": 4}"
player_rolls_dice,"{""gameId"": 2, ""playerId"": 1, ""roll"": 5}"
player_rolls_dice,"{""gameId"": 2, ""playerId"": 14, ""roll"": 2}"
player_rolls_dice,"{""gameId"": 2, ""playerId"": 1, ""roll"": 5}"
player_rolls_dice,"{""gameId"": 2, ""playerId"": 14, ""roll"": 4}"
player_rolls_dice,"{""gameId"": 2, ""playerId"": 1, ""roll"": 3}"
player_rolls_dice,"{""gameId"": 2, ""playerId"": 14, ""roll"": 4}"
player_rolls_dice,"{""gameId"": 2, ""playerId"": 1, ""roll"": 6}"
player_rolls_dice,"{""gameId"": 2, ""playerId"": 14, ""roll"": 5}"
player_rolls_dice,"{""gameId"": 2, ""playerId"": 1, ""roll"": 5}"
player_rolls_dice,"{""gameId"": 2, ""playerId"": 14, ""roll"": 5}"
player_rolls_dice,"{""gameId"": 2, ""playerId"": 1, ""roll"": 5}"
player_rolls_dice,"{""gameId"": 2, ""playerId"": 14, ""roll"": 6}"
player_rolls_dice,"{""gameId"": 2, ""playerId"": 1, ""roll"": 2}"
player_rolls_dice,"{""gameId"": 2, ""playerId"": 14, ""roll"": 1}"
player_rolls_dice,"{""gameId"": 2, ""playerId"": 1, ""roll"": 5}"
player_rolls_dice,"{""gameId"": 2, ""playerId"": 14, ""roll"": 6}"
game_started,"{""gameId"": 3}"
player_joins_game,"{""gameId"": 3, ""playerId"": 5}"
player_joins_game,"{""gameId"": 3, ""playerId"": 15}"
player_rolls_dice,"{""gameId"": 3, ""playerId"": 5, ""roll"": 5}"
player_rolls_dice,"{""gameId"": 3, ""playerId"": 15, ""roll"": 2}"
player_rolls_dice,"{""gameId"": 3, ""playerId"": 5, ""roll"": 2}"
player_rolls_dice,"{""gameId"": 3, ""playerId"": 15, ""roll"": 2}"
player_rolls_dice,"{""gameId"": 3, ""playerId"": 5, ""roll"": 2}"
player_rolls_dice,"{""gameId"": 3, ""playerId"": 15, ""roll"": 2}"
player_rolls_dice,"{""gameId"": 3, ""playerId"": 5, ""roll"": 6}"
player_rolls_dice,"{""gameId"": 3, ""playerId"": 15, ""roll"": 5}"
player_rolls_dice,"{""gameId"": 3, ""playerId"": 5, ""roll"": 5}"
player_rolls_dice,"{""gameId"": 3, ""playerId"": 15, ""roll"": 3}"
player_rolls_dice,"{""gameId"": 3, ""playerId"": 5, ""roll"": 5}"
player_rolls_dice,"{""gameId"": 3, ""playerId"": 15, ""roll"": 6}"
player_rolls_dice,"{""gameId"": 3, ""playerId"": 5, ""roll"": 3}"
player_rolls_dice,"{""gameId"": 3, ""playerId"": 15, ""roll"": 3}"
player_rolls_dice,"{""gameId"": 3, ""playerId"": 5, ""roll"": 3}"
player_rolls_dice,"{""gameId"": 3, ""playerId"": 15, ""roll"": 2}"
player_rolls_dice,"{""gameId"": 3, ""playerId"": 5, ""roll"": 1}"
player_rolls_dice,"{""gameId"": 3, ""playerId"": 15, ""roll"": 3}"
player_rolls_dice,"{""gameId"": 3, ""playerId"": 5, ""roll"": 4}"
player_rolls_dice,"{""gameId"": 3, ""playerId"": 15, ""roll"": 5}"
player_rolls_dice,"{""gameId"": 3, ""playerId"": 5, ""roll"": 5}"
player_rolls_dice,"{""gameId"": 3, ""playerId"": 15, ""roll"": 1}"
player_rolls_dice,"{""gameId"": 3, ""playerId"": 5, ""roll"": 3}"
player_rolls_dice,"{""gameId"": 3, ""playerId"": 15, ""roll"": 2}"
player_rolls_dice,"{""gameId"": 3, ""playerId"": 5, ""roll"": 5}"
player_rolls_dice,"{""gameId"": 3, ""playerId"": 15, ""roll"": 2}"
player_rolls_dice,"{""gameId"": 3, ""playerId"": 5, ""roll"": 4}"
player_rolls_dice,"{""gameId"": 3, ""playerId"": 15, ""roll"": 1}"
player_rolls_dice,"{""gameId"": 3, ""playerId"": 5, ""roll"": 5}"
player_rolls_dice,"{""gameId"": 3, ""playerId"": 15, ""roll"": 3}"
player_rolls_dice,"{""gameId"": 3, ""playerId"": 5, ""roll"": 3}"
player_rolls_dice,"{""gameId"": 3, ""playerId"": 15, ""roll"": 1}"
player_rolls_dice,"{""gameId"": 3, ""playerId"": 5, ""roll"": 6}"
player_rolls_dice,"{""gameId"": 3, ""playerId"": 15, ""roll"": 2}"
player_rolls_dice,"{""gameId"": 3, ""playerId"": 5, ""roll"": 3}"
player_rolls_dice,"{""gameId"": 3, ""playerId"": 15, ""roll"": 2}"
player_rolls_dice,"{""gameId"": 3, ""playerId"": 5, ""roll"": 2}"
player_rolls_dice,"{""gameId"": 3, ""playerId"": 15, ""roll"": 5}"
player_rolls_dice,"{""gameId"": 3, ""playerId"": 5, ""roll"": 4}"
player_rolls_dice,"{""gameId"": 3, ""playerId"": 15, ""roll"": 3}"
player_rolls_dice,"{""gameId"": 3, ""playerId"": 5, ""roll"": 3}"
player_rolls_dice,"{""gameId"": 3, ""playerId"": 15, ""roll"": 4}"
player_rolls_dice,"{""gameId"": 3, ""playerId"": 5, ""roll"": 4}"
player_rolls_dice,"{""gameId"": 3, ""playerId"": 15, ""roll"": 5}"
player_rolls_dice,"{""gameId"": 3, ""playerId"": 5, ""roll"": 6}"
player_rolls_dice,"{""gameId"": 3, ""playerId"": 15, ""roll"": 6}"
player_rolls_dice,"{""gameId"": 3, ""playerId"": 5, ""roll"": 1}"
player_rolls_dice,"{""gameId"": 3, ""playerId"": 15, ""roll"": 6}"
player_rolls_dice,"{""gameId"": 3, ""playerId"": 5, ""roll"": 1}"
player_rolls_dice,"{""gameId"": 3, ""playerId"": 15, ""roll"": 1}"
player_rolls_dice,"{""gameId"": 3, ""playerId"": 5, ""roll"": 1}"
player_rolls_dice,"{""gameId"": 3, ""playerId"": 15, ""roll"": 3}"
player_rolls_dice,"{""gameId"": 3, ""playerId"": 5, ""roll"": 2}"
player_rolls_dice,"{""gameId"": 3, ""playerId"": 15, ""roll"": 6}"
player_rolls_dice,"{""gameId"": 3, ""playerId"": 5, ""roll"": 3}"
player_rolls_dice,"{""gameId"": 3, ""playerId"": 15, ""roll"": 4}"
game_started,"{""gameId"": 4}"
player_joins_game,"{""gameId"": 4, ""playerId"": 7}"
player_joins_game,"{""gameId"": 4, ""playerId"": 20}"
player_rolls_dice,"{""gameId"": 4, ""playerId"": 7, ""roll"": 2}"
player_rolls_dice,"{""gameId"": 4, ""playerId"": 20, ""roll"": 2}"
player_rolls_dice,"{""gameId"": 4, ""playerId"": 7, ""roll"": 2}"
player_rolls_dice,"{""gameId"": 4, ""playerId"": 20, ""roll"": 3}"
player_rolls_dice,"{""gameId"": 4, ""playerId"": 7, ""roll"": 6}"
player_rolls_dice,"{""gameId"": 4, ""playerId"": 20, ""roll"": 6}"
player_rolls_dice,"{""gameId"": 4, ""playerId"": 7, ""roll"": 4}"
player_rolls_dice,"{""gameId"": 4, ""playerId"": 20, ""roll"": 6}"
player_rolls_dice,"{""gameId"": 4, ""playerId"": 7, ""roll"": 2}"
player_rolls_dice,"{""gameId"": 4, ""playerId"": 20, ""roll"": 5}"
player_rolls_dice,"{""gameId"": 4, ""playerId"": 7, ""roll"": 4}"
player_rolls_dice,"{""gameId"": 4, ""playerId"": 20, ""roll"": 4}"
player_rolls_dice,"{""gameId"": 4, ""playerId"": 7, ""roll"": 5}"
player_rolls_dice,"{""gameId"": 4, ""playerId"": 20, ""roll"": 3}"
player_rolls_dice,"{""gameId"": 4, ""playerId"": 7, ""roll"": 2}"
player_rolls_dice,"{""gameId"": 4, ""playerId"": 20, ""roll"": 6}"
player_rolls_dice,"{""gameId"": 4, ""playerId"": 7, ""roll"": 6}"
player_rolls_dice,"{""gameId"": 4, ""playerId"": 20, ""roll"": 3}"
player_rolls_dice,"{""gameId"": 4, ""playerId"": 7, ""roll"": 4}"
player_rolls_dice,"{""gameId"": 4, ""playerId"": 20, ""roll"": 3}"
player_rolls_dice,"{""gameId"": 4, ""playerId"": 7, ""roll"": 5}"
player_rolls_dice,"{""gameId"": 4, ""playerId"": 20, ""roll"": 4}"
player_rolls_dice,"{""gameId"": 4, ""playerId"": 7, ""roll"": 4}"
player_rolls_dice,"{""gameId"": 4, ""playerId"": 20, ""roll"": 3}"
player_rolls_dice,"{""gameId"": 4, ""playerId"": 7, ""roll"": 6}"
player_rolls_dice,"{""gameId"": 4, ""playerId"": 20, ""roll"": 2}"
player_rolls_dice,"{""gameId"": 4, ""playerId"": 7, ""roll"": 4}"
player_rolls_dice,"{""gameId"": 4, ""playerId"": 20, ""roll"": 5}"
player_rolls_dice,"{""gameId"": 4, ""playerId"": 7, ""roll"": 5}"
player_rolls_dice,"{""gameId"": 4, ""playerId"": 20, ""roll"": 2}"
player_rolls_dice,"{""gameId"": 4, ""playerId"": 7, ""roll"": 2}"
player_rolls_dice,"{""gameId"": 4, ""playerId"": 20, ""roll"": 4}"
player_rolls_dice,"{""gameId"": 4, ""playerId"": 7, ""roll"": 3}"
player_rolls_dice,"{""gameId"": 4, ""playerId"": 20, ""roll"": 2}"
player_rolls_dice,"{""gameId"": 4, ""playerId"": 7, ""roll"": 4}"
player_rolls_dice,"{""gameId"": 4, ""playerId"": 20, ""roll"": 3}"
player_rolls_dice,"{""gameId"": 4, ""playerId"": 7, ""roll"": 5}"
player_rolls_dice,"{""gameId"": 4, ""playerId"": 20, ""roll"": 4}"
player_rolls_dice,"{""gameId"": 4, ""playerId"": 7, ""roll"": 2}"
player_rolls_dice,"{""gameId"": 4, ""playerId"": 20, ""roll"": 3}"
player_rolls_dice,"{""gameId"": 4, ""playerId"": 7, ""roll"": 3}"
game_started,"{""gameId"": 5}"
player_joins_game,"{""gameId"": 5, ""playerId"": 8}"
player_joins_game,"{""gameId"": 5, ""playerId"": 17}"
player_rolls_dice,"{""gameId"": 5, ""playerId"": 8, ""roll"": 2}"
player_rolls_dice,"{""gameId"": 5, ""playerId"": 17, ""roll"": 2}"
player_rolls_dice,"{""gameId"": 5, ""playerId"": 8, ""roll"": 4}"
player_rolls_dice,"{""gameId"": 5, ""playerId"": 17, ""roll"": 5}"
player_rolls_dice,"{""gameId"": 5, ""playerId"": 8, ""roll"": 4}"
player_rolls_dice,"{""gameId"": 5, ""playerId"": 17, ""roll"": 1}"
player_rolls_dice,"{""gameId"": 5, ""playerId"": 8, ""roll"": 4}"
player_rolls_dice,"{""gameId"": 5, ""playerId"": 17, ""roll"": 2}"
player_rolls_dice,"{""gameId"": 5, ""playerId"": 8, ""roll"": 1}"
player_rolls_dice,"{""gameId"": 5, ""playerId"": 17, ""roll"": 2}"
player_rolls_dice,"{""gameId"": 5, ""playerId"": 8, ""roll"": 4}"
player_rolls_dice,"{""gameId"": 5, ""playerId"": 17, ""roll"": 4}"
player_rolls_dice,"{""gameId"": 5, ""playerId"": 8, ""roll"": 5}"
player_rolls_dice,"{""gameId"": 5, ""playerId"": 17, ""roll"": 5}"
player_rolls_dice,"{""gameId"": 5, ""playerId"": 8, ""roll"": 6}"
player_rolls_dice,"{""gameId"": 5, ""playerId"": 17, ""roll"": 1}"
player_rolls_dice,"{""gameId"": 5, ""playerId"": 8, ""roll"": 4}"
player_rolls_dice,"{""gameId"": 5, ""playerId"": 17, ""roll"": 1}"
player_rolls_dice,"{""gameId"": 5, ""playerId"": 8, ""roll"": 2}"
player_rolls_dice,"{""gameId"": 5, ""playerId"": 17, ""roll"": 3}"
player_rolls_dice,"{""gameId"": 5, ""playerId"": 8, ""roll"": 3}"
player_rolls_dice,"{""gameId"": 5, ""playerId"": 17, ""roll"": 2}"
player_rolls_dice,"{""gameId"": 5, ""playerId"": 8, ""roll"": 3}"
player_rolls_dice,"{""gameId"": 5, ""playerId"": 17, ""roll"": 2}"
player_rolls_dice,"{""gameId"": 5, ""playerId"": 8, ""roll"": 1}"
player_rolls_dice,"{""gameId"": 5, ""playerId"": 17, ""roll"": 2}"
player_rolls_dice,"{""gameId"": 5, ""playerId"": 8, ""roll"": 3}"
player_rolls_dice,"{""gameId"": 5, ""playerId"": 17, ""roll"": 4}"
player_rolls_dice,"{""gameId"": 5, ""playerId"": 8, ""roll"": 2}"
player_rolls_dice,"{""gameId"": 5, ""playerId"": 17, ""roll"": 1}"
player_rolls_dice,"{""gameId"": 5, ""playerId"": 8, ""roll"": 5}"
player_rolls_dice,"{""gameId"": 5, ""playerId"": 17, ""roll"": 3}"
player_rolls_dice,"{""gameId"": 5, ""playerId"": 8, ""roll"": 4}"
player_rolls_dice,"{""gameId"": 5, ""playerId"": 17, ""roll"": 5}"
player_rolls_dice,"{""gameId"": 5, ""playerId"": 8, ""roll"": 5}"
player_rolls_dice,"{""gameId"": 5, ""playerId"": 17, ""roll"": 1}"
player_rolls_dice,"{""gameId"": 5, ""playerId"": 8, ""roll"": 4}"
player_rolls_dice,"{""gameId"": 5, ""playerId"": 17, ""roll"": 2}"
player_rolls_dice,"{""gameId"": 5, ""playerId"": 8, ""roll"": 6}"
player_rolls_dice,"{""gameId"": 5, ""playerId"": 17, ""roll"": 3}"
player_rolls_dice,"{""gameId"": 5, ""playerId"": 8, ""roll"": 1}"
player_rolls_dice,"{""gameId"": 5, ""playerId"": 17, ""roll"": 1}"
player_rolls_dice,"{""gameId"": 5, ""playerId"": 8, ""roll"": 1}"
player_rolls_dice,"{""gameId"": 5, ""playerId"": 17, ""roll"": 3}"
player_rolls_dice,"{""gameId"": 5, ""playerId"": 8, ""roll"": 4}"
player_rolls_dice,"{""gameId"": 5, ""playerId"": 17, ""roll"": 4}"
player_rolls_dice,"{""gameId"": 5, ""playerId"": 8, ""roll"": 3}"
player_rolls_dice,"{""gameId"": 5, ""playerId"": 17, ""roll"": 1}"
player_rolls_dice,"{""gameId"": 5, ""playerId"": 8, ""roll"": 5}"
player_rolls_dice,"{""gameId"": 5, ""playerId"": 17, ""roll"": 2}"
player_rolls_dice,"{""gameId"": 5, ""playerId"": 8, ""roll"": 3}"
player_rolls_dice,"{""gameId"": 5, ""playerId"": 17, ""roll"": 5}"
player_rolls_dice,"{""gameId"": 5, ""playerId"": 8, ""roll"": 5}"
game_started,"{""gameId"": 6}"
player_joins_game,"{""gameId"": 6, ""playerId"": 7}"
player_joins_game,"{""gameId"": 6, ""playerId"": 12}"
player_rolls_dice,"{""gameId"": 6, ""playerId"": 7, ""roll"": 2}"
player_rolls_dice,"{""gameId"": 6, ""playerId"": 12, ""roll"": 6}"
player_rolls_dice,"{""gameId"": 6, ""playerId"": 7, ""roll"": 4}"
player_rolls_dice,"{""gameId"": 6, ""playerId"": 12, ""roll"": 3}"
player_rolls_dice,"{""gameId"": 6, ""playerId"": 7, ""roll"": 3}"
player_rolls_dice,"{""gameId"": 6, ""playerId"": 12, ""roll"": 1}"
player_rolls_dice,"{""gameId"": 6, ""playerId"": 7, ""roll"": 3}"
player_rolls_dice,"{""gameId"": 6, ""playerId"": 12, ""roll"": 1}"
player_rolls_dice,"{""gameId"": 6, ""playerId"": 7, ""roll"": 6}"
player_rolls_dice,"{""gameId"": 6, ""playerId"": 12, ""roll"": 3}"
player_rolls_dice,"{""gameId"": 6, ""playerId"": 7, ""roll"": 4}"
player_rolls_dice,"{""gameId"": 6, ""playerId"": 12, ""roll"": 4}"
player_rolls_dice,"{""gameId"": 6, ""playerId"": 7, ""roll"": 2}"
player_rolls_dice,"{""gameId"": 6, ""playerId"": 12, ""roll"": 1}"
player_rolls_dice,"{""gameId"": 6, ""playerId"": 7, ""roll"": 6}"
player_rolls_dice,"{""gameId"": 6, ""playerId"": 12, ""roll"": 3}"
player_rolls_dice,"{""gameId"": 6, ""playerId"": 7, ""roll"": 5}"
player_rolls_dice,"{""gameId"": 6, ""playerId"": 12, ""roll"": 6}"
player_rolls_dice,"{""gameId"": 6, ""playerId"": 7, ""roll"": 1}"
player_rolls_dice,"{""gameId"": 6, ""playerId"": 12, ""roll"": 5}"
player_rolls_dice,"{""gameId"": 6, ""playerId"": 7, ""roll"": 5}"
player_rolls_dice,"{""gameId"": 6, ""playerId"": 12, ""roll"": 3}"
player_rolls_dice,"{""gameId"": 6, ""playerId"": 7, ""roll"": 6}"
player_rolls_dice,"{""gameId"": 6, ""playerId"": 12, ""roll"": 4}"
player_rolls_dice,"{""gameId"": 6, ""playerId"": 7, ""roll"": 4}"
player_rolls_dice,"{""gameId"": 6, ""playerId"": 12, ""roll"": 4}"
player_rolls_dice,"{""gameId"": 6, ""playerId"": 7, ""roll"": 3}"
player_rolls_dice,"{""gameId"": 6, ""playerId"": 12, ""roll"": 2}"
player_rolls_dice,"{""gameId"": 6, ""playerId"": 7, ""roll"": 5}"
player_rolls_dice,"{""gameId"": 6, ""playerId"": 12, ""roll"": 5}"
player_rolls_dice,"{""gameId"": 6, ""playerId"": 7, ""roll"": 5}"
player_rolls_dice,"{""gameId"": 6, ""playerId"": 12, ""roll"": 1}"
player_rolls_dice,"{""gameId"": 6, ""playerId"": 7, ""roll"": 1}"
player_rolls_dice,"{""gameId"": 6, ""playerId"": 12, ""roll"": 3}"
player_rolls_dice,"{""gameId"": 6, ""playerId"": 7, ""roll"": 3}"
player_rolls_dice,"{""gameId"": 6, ""playerId"": 12, ""roll"": 2}"
player_rolls_dice,"{""gameId"": 6, ""playerId"": 7, ""roll"": 4}"
player_rolls_dice,"{""gameId"": 6, ""playerId"": 12, ""roll"": 4}"
player_rolls_dice,"{""gameId"": 6, ""playerId"": 7, ""roll"": 1}"
player_rolls_dice,"{""gameId"": 6, ""playerId"": 12, ""roll"": 6}"
player_rolls_dice,"{""gameId"": 6, ""playerId"": 7, ""roll"": 5}"
player_rolls_dice,"{""gameId"": 6, ""playerId"": 12, ""roll"": 2}"
player_rolls_dice,"{""gameId"": 6, ""playerId"": 7, ""roll"": 4}"
player_rolls_dice,"{""gameId"": 6, ""playerId"": 12, ""roll"": 2}"
player_rolls_dice,"{""gameId"": 6, ""playerId"": 7, ""roll"": 5}"
player_rolls_dice,"{""gameId"": 6, ""playerId"": 12, ""roll"": 3}"
player_rolls_dice,"{""gameId"": 6, ""playerId"": 7, ""roll"": 6}"
player_rolls_dice,"{""gameId"": 6, ""playerId"": 12, ""roll"": 4}"
player_rolls_dice,"{""gameId"": 6, ""playerId"": 7, ""roll"": 1}"
player_rolls_dice,"{""gameId"": 6, ""playerId"": 12, ""roll"": 5}"
player_rolls_dice,"{""gameId"": 6, ""playerId"": 7, ""roll"": 4}"
player_rolls_dice,"{""gameId"": 6, ""playerId"": 12, ""roll"": 2}"
player_rolls_dice,"{""gameId"": 6, ""playerId"": 7, ""roll"": 3}"
player_rolls_dice,"{""gameId"": 6, ""playerId"": 12, ""roll"": 2}"
game_started,"{""gameId"": 7}"
player_joins_game,"{""gameId"": 7, ""playerId"": 3}"
player_joins_game,"{""gameId"": 7, ""playerId"": 17}"
player_rolls_dice,"{""gameId"": 7, ""playerId"": 3, ""roll"": 1}"
player_rolls_dice,"{""gameId"": 7, ""playerId"": 17, ""roll"": 2}"
player_rolls_dice,"{""gameId"": 7, ""playerId"": 3, ""roll"": 2}"
player_rolls_dice,"{""gameId"": 7, ""playerId"": 17, ""roll"": 3}"
player_rolls_dice,"{""gameId"": 7, ""playerId"": 3, ""roll"": 1}"
player_rolls_dice,"{""gameId"": 7, ""playerId"": 17, ""roll"": 4}"
player_rolls_dice,"{""gameId"": 7, ""playerId"": 3, ""roll"": 5}"
player_rolls_dice,"{""gameId"": 7, ""playerId"": 17, ""roll"": 1}"
player_rolls_dice,"{""gameId"": 7, ""playerId"": 3, ""roll"": 1}"
player_rolls_dice,"{""gameId"": 7, ""playerId"": 17, ""roll"": 1}"
player_rolls_dice,"{""gameId"": 7, ""playerId"": 3, ""roll"": 4}"
player_rolls_dice,"{""gameId"": 7, ""playerId"": 17, ""roll"": 1}"
player_rolls_dice,"{""gameId"": 7, ""playerId"": 3, ""roll"": 4}"
player_rolls_dice,"{""gameId"": 7, ""playerId"": 17, ""roll"": 1}"
player_rolls_dice,"{""gameId"": 7, ""playerId"": 3, ""roll"": 1}"
player_rolls_dice,"{""gameId"": 7, ""playerId"": 17, ""roll"": 2}"
player_rolls_dice,"{""gameId"": 7, ""playerId"": 3, ""roll"": 3}"
player_rolls_dice,"{""gameId"": 7, ""playerId"": 17, ""roll"": 6}"
player_rolls_dice,"{""gameId"": 7, ""playerId"": 3, ""roll"": 4}"
player_rolls_dice,"{""gameId"": 7, ""playerId"": 17, ""roll"": 3}"
player_rolls_dice,"{""gameId"": 7, ""playerId"": 3, ""roll"": 2}"
player_rolls_dice,"{""gameId"": 7, ""playerId"": 17, ""roll"": 6}"
player_rolls_dice,"{""gameId"": 7, ""playerId"": 3, ""roll"": 5}"
player_rolls_dice,"{""gameId"": 7, ""playerId"": 17, ""roll"": 3}"
player_rolls_dice,"{""gameId"": 7, ""playerId"": 3, ""roll"": 6}"
player_rolls_dice,"{""gameId"": 7, ""playerId"": 17, ""roll"": 6}"
player_rolls_dice,"{""gameId"": 7, ""playerId"": 3, ""roll"": 1}"
player_rolls_dice,"{""gameId"": 7, ""playerId"": 17, ""roll"": 4}"
player_rolls_dice,"{""gameId"": 7, ""playerId"": 3, ""roll"": 3}"
player_rolls_dice,"{""gameId"": 7, ""playerId"": 17, ""roll"": 3}"
player_rolls_dice,"{""gameId"": 7, ""playerId"": 3, ""roll"": 6}"
player_rolls_dice,"{""gameId"": 7, ""playerId"": 17, ""roll"": 1}"
player_rolls_dice,"{""gameId"": 7, ""playerId"": 3, ""roll"": 6}"
player_rolls_dice,"{""gameId"": 7, ""playerId"": 17, ""roll"": 6}"
player_rolls_dice,"{""gameId"": 7, ""playerId"": 3, ""roll"": 5}"
